Country,Region,Total Ecological Footprint (Consumption),Number of Earths required,"official 
 Country Overshoot Day 
 (for use in 2024)"
Martinique,Central America/Caribbean,3.502802609,2.3,"June 6, 2024"
Mauritania,Africa,2.256407504,1.5,"September 1, 2024"
Mauritius,Africa,2.603587166,1.7,"July 30, 2024"
Mexico,North America,2.285229609,1.5,"August 29, 2024"
Mongolia,Asia-Pacific,7.707718406,5.1,"March 12, 2024"
Montenegro,Other Europe,3.650600238,2.4,"May 30, 2024"
Morocco,Africa,1.545268177,1,"December 22, 2024"
Mozambique,Africa,0.7712301258,0.5,
Myanmar,Asia-Pacific,1.114220234,0.7,
Namibia,Africa,2.385289244,1.6,"August 19, 2024"
Nepal,Asia-Pacific,0.9004560942,0.6,
Netherlands,EU-27,6.021977401,4,"April 1, 2024"
New Zealand,Asia-Pacific,5.426229874,3.6,"April 11, 2024"
Nicaragua,Central America/Caribbean,1.493572383,1,
Niger,Africa,1.350307522,0.9,
Nigeria,Africa,0.8013353153,0.5,
Norway,Other Europe,5.398733676,3.6,"April 12, 2024"
Oman,Middle East/Central Asia,7.281467173,4.8,"March 16, 2024"
Pakistan,Asia-Pacific,0.7299667522,0.5,
Panama,Central America/Caribbean,2.319781541,1.5,"August 25, 2024"
Papua New Guinea,Asia-Pacific,1.154842733,0.8,
Paraguay,South America,3.15032926,2.1,"June 23, 2024"
Peru,South America,2.237887783,1.5,"September 3, 2024"
Philippines,Asia-Pacific,1.179381722,0.8,
Poland,EU-27,4.648672886,3.1,"April 28, 2024"
Portugal,EU-27,3.719395877,2.5,"May 28, 2024"
Qatar,Middle East/Central Asia,13.12633419,8.7,"February 11, 2024"
Republic of Moldova,Other Europe,1.522206735,1,"December 28, 2024"
Republic of North Macedonia,Other Europe,2.813592043,1.9,"July 14, 2024"
Réunion,Africa,3.491316161,2.3,"June 6, 2024"
Romania,EU-27,2.737665279,1.8,"July 20, 2024"
Russian Federation,Other Europe,5.801171589,3.8,"April 5, 2024"
Rwanda,Africa,0.5540297604,0.4,
Saint Lucia,Central America/Caribbean,1.711828501,1.1,"November 18, 2024"
Saint Vincent and Grenadines,Central America/Caribbean,1.81483381,1.2,"October 30, 2024"
Samoa,Asia-Pacific,2.483752448,1.6,"August 9, 2024"
Sao Tome and Principe,Africa,1.05186977,0.7,
Saudi Arabia,Middle East/Central Asia,5.745479868,3.8,"April 5, 2024"
Senegal,Africa,1.219523977,0.8,
Serbia,Other Europe,3.830578695,2.5,"May 23, 2024"
Sierra Leone,Africa,1.046275966,0.7,
Singapore,Asia-Pacific,5.738031039,3.8,"April 6, 2024"
Slovakia,EU-27,4.158978975,2.8,"May 12, 2024"
Slovenia,EU-27,4.781998935,3.2,"April 25, 2024"
Solomon Islands,Asia-Pacific,1.664943989,1.1,"November 27, 2024"
Somalia,Africa,0.8913895137,0.6,
South Africa,Africa,3.212886552,2.1,"June 20, 2024"
South Sudan,Africa,1.669043983,1.1,"November 26, 2024"
Spain,EU-27,3.915566345,2.6,"May 20, 2024"
Sudan,Africa,1.141855742,0.8,
Suriname,South America,3.139095257,2.1,"June 24, 2024"
Sweden,EU-27,4.937928147,3.3,"April 21, 2024"
Switzerland,Other Europe,3.735964065,2.5,"May 27, 2024"
Syrian Arab Republic,Middle East/Central Asia,0.9972631162,0.7,
Tajikistan,Middle East/Central Asia,1.060971852,0.7,
"Tanzania, United Republic of",Africa,0.9263053852,0.6,
Thailand,Asia-Pacific,2.345244338,1.6,"August 23, 2024"
Timor-Leste,Asia-Pacific,0.5670204395,0.4,
Togo,Africa,0.8931120552,0.6,
Tonga,Asia-Pacific,3.090425847,2,"June 27, 2024"
Trinidad and Tobago,Central America/Caribbean,5.39309692,3.6,"April 12, 2024"
Tunisia,Africa,1.36135242,0.9,
Turkiye,Middle East/Central Asia,3.394831497,2.2,"June 11, 2024"
Turkmenistan,Middle East/Central Asia,3.860804849,2.6,"May 22, 2024"
Uganda,Africa,0.9779602345,0.6,
Ukraine,Other Europe,2.013521729,1.3,"September 30, 2024"
United Arab Emirates,Middle East/Central Asia,8.714827403,5.8,"March 4, 2024"
United Kingdom,Other Europe,3.56529668,2.4,"June 3, 2024"
United States of America,North America,7.46063209,4.9,"March 14, 2024"
Uruguay,South America,2.162122484,1.4,"September 11, 2024"
Uzbekistan,Middle East/Central Asia,2.107131631,1.4,"September 18, 2024"
Vanuatu,Asia-Pacific,1.830256724,1.2,"October 28, 2024"
"Venezuela, Bolivarian Republic of",South America,2.10953669,1.4,"September 18, 2024"
Viet Nam,Asia-Pacific,2.432274187,1.6,"August 14, 2024"
Yemen,Middle East/Central Asia,0.6132583595,0.4,
Zambia,Africa,1.213214918,0.8,
Zimbabwe,Africa,1.085391103,0.7,
