Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Switzerland,3A,80.8,84,0.96,,Other Europe,HI,8.8,2.064867897,3.735964065,1.126134218,-2.6,2.5,3.3,2024-05-27,2024-05-26,-1.0
Syrian Arab Republic,3A,57.4,72,0.58,,Middle East/Central Asia,LM,19.4,0.937940071,0.997263116,0.599874724,-0.4,0.7,1.7,,2025-07-07,
Tajikistan,2A,69.7,72,0.69,"$3,966",Middle East/Central Asia,LI,10,0.927720534,1.060971852,0.447701438,-0.6,0.7,2.4,,2025-06-03,
"Tanzania, United Republic of",3A,57.4,66,0.55,"$2,876",Africa,LI,63.3,0.98026835,0.926305385,0.79975609,-0.1,0.6,1.2,,2025-08-18,
Thailand,3A,,79,0.8,"$18,036",Asia-Pacific,UM,70.1,2.273765129,2.345244338,1.143619577,-1.2,1.6,2.1,2024-08-23,2024-08-22,-1.0
Timor-Leste,2A,0,68,0.61,"$2,860",Asia-Pacific,LM,1.4,0.407714632,0.56702044,1.59116224,1.0,0.4,0.4,,2026-08-31,
Togo,3A,,62,0.54,"$2,226",Africa,LI,8.7,0.744717374,0.893112055,0.553858253,-0.3,0.6,1.6,,2025-09-09,
Tonga,2B,0,71,0.75,"$5,810",Asia-Pacific,LM,0.1,1.626043934,3.090425847,1.256949734,-1.8,2.0,2.5,2024-06-27,2024-06-26,-1.0
Trinidad and Tobago,2A,60.4,73,0.81,"$25,596",Central America/Caribbean,HI,1.4,5.872113937,5.39309692,1.37945418,-4.0,3.6,3.9,2024-04-12,2024-04-11,-1.0
Tunisia,2A,70.7,74,0.73,"$10,535",Africa,UM,12,1.43613344,1.36135242,0.716018316,-0.6,0.9,1.9,,2025-02-08,
Turkiye,3A,70.4,76,0.84,"$32,109",Middle East/Central Asia,UM,85.6,2.918333409,3.394831497,1.478215807,-1.9,2.2,2.3,2024-06-11,2024-06-10,-1.0
Turkmenistan,2A,66.1,69,0.75,"$16,151",Middle East/Central Asia,LM,6.2,3.94050758,3.860804849,2.152708107,-1.7,2.6,1.8,2024-05-22,2024-05-22,0.0
Uganda,3A,54.9,63,0.53,,Africa,LI,48.4,0.980740599,0.977960235,0.478872706,-0.5,0.6,2.0,,2025-07-18,
Ukraine,2D,75.7,70,0.77,,Other Europe,LM,43.2,3.552849429,2.013521729,3.0867497,1.1,1.3,0.7,2024-09-30,2024-09-30,0.0
United Arab Emirates,2A,68.8,79,0.91,"$67,026",Middle East/Central Asia,HI,10.1,7.149854287,8.714827403,0.543236143,-8.2,5.8,16.0,2024-03-04,2024-03-03,-1.0
United Kingdom,3A,80.6,81,0.93,"$47,366",Other Europe,HI,68.5,2.406311042,3.56529668,1.020497152,-2.5,2.4,3.5,2024-06-03,2024-06-03,0.0
United States of America,3A,74.6,76,0.92,"$65,118",North America,HI,334.8,7.453575746,7.46063209,3.720832,-3.7,4.9,2.0,2024-03-14,2024-03-14,0.0
Uruguay,1A,,75,0.81,"$22,837",South America,UM,3.5,9.562729078,2.162122484,9.557758836,7.4,1.4,0.2,2024-09-11,2024-09-11,0.0
Uzbekistan,3A,69.9,71,0.73,,Middle East/Central Asia,LM,34.4,1.848731478,2.107131631,0.730073847,-1.4,1.4,2.9,2024-09-18,2024-09-18,0.0
Vanuatu,2C,0,70,0.61,"$2,442",Asia-Pacific,LM,0.3,4.463610746,1.830256724,1.8364544,0.0,1.2,1.0,2024-10-28,2024-10-27,-1.0
"Venezuela, Bolivarian Republic of",3A,60.3,71,0.69,,South America,UM,29.3,2.124105981,2.10953669,2.945991731,0.8,1.4,0.7,2024-09-18,2024-09-17,-1.0
Viet Nam,3A,72.8,74,0.7,"$11,032",Asia-Pacific,LM,99,2.237806229,2.432274187,0.79507003,-1.6,1.6,3.1,2024-08-14,2024-08-14,0.0
Yemen,3A,52.1,64,0.46,"$1,780",Middle East/Central Asia,LM,31.2,0.371746982,0.61325836,0.347502131,-0.3,0.4,1.8,,2026-06-19,
Zambia,3A,,,,,Africa,LM,19.5,1.155054579,1.213214918,1.651919903,0.4,0.8,0.7,,2025-03-30,
Zimbabwe,2A,,,,,Africa,LI,15.3,0.94179704,1.085391103,0.631495216,-0.5,0.7,1.7,,2025-05-23,
