Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Congo,3A,52.3,64,0.57,"$3,921",Africa,LM,5.8,0.935832554,1.118348118,7.831302282,6.7,0.7,0.1,,2025-05-08,
"Congo, Democratic Republic of",3A,50,59,0.48,"$1,127",Africa,LI,95.2,0.63807248,0.685389769,1.846246272,1.2,0.5,0.4,,2026-03-16,
Costa Rica,3A,73.8,77,0.81,"$20,976",Central America/Caribbean,UM,5.2,1.912508701,2.598940861,1.615101928,-1.0,1.7,1.6,2024-07-31,2024-07-30,-1.0
C?te d'Ivoire,3A, , , , ,Africa,LM,27.7,0.949721348,0.884764377,1.106372817,0.2,0.6,0.8,,2025-09-15,
Croatia,3A,78.8,76,0.86,"$31,007",Other Europe,HI,4.1,3.340531922,3.711865291,2.5716721,-1.1,2.5,1.4,2024-05-28,2024-05-27,-1.0
Cuba,3A,74.7,74,0.76, ,Central America/Caribbean,UM,11.3,1.515466515,1.917039516,1.115083757,-0.8,1.3,1.7,2024-10-14,2024-10-14,0.0
Cyprus,2B,74.2,81,0.9,"$41,492",EU-27,HI,1.2,2.00767868,3.189333464,0.380453362,-2.8,2.1,8.4,2024-06-21,2024-06-21,0.0
Czech Republic,3A,80.5,77,0.89,"$40,707",EU-27,HI,10.7,6.264331652,5.083019965,2.522005575,-2.6,3.4,2.0,2024-04-18,2024-04-17,-1.0
Denmark,3A,85.6,81,0.95,"$59,333",EU-27,HI,5.8,4.416909413,7.286468876,4.216546359,-3.1,4.8,1.7,2024-03-16,2024-03-15,-1.0
Djibouti,2A,50.3,62,0.51,"$5,710",Africa,LM,1,0.780841671,2.457381498,0.633919885,-1.8,1.6,3.9,2024-08-12,2024-08-11,-1.0
Dominica,2B,,73,0.72,"$12,412",Central America/Caribbean,UM,0.1,1.735097526,2.687000807,1.004335122,-1.7,1.8,2.7,2024-07-24,2024-07-23,-1.0
